City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
319,Ankazoabo,MG,72.59,light rain,-22.2833,44.5167,ENCEIN BUREAU CISCO
325,Yeppoon,AU,82.18,few clouds,-23.1333,150.7333,Villa Mar Colina
328,Yarada,IN,71.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
329,Bubaque,GW,77.65,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
334,Natal,BR,80.82,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
338,Araceli,PH,80.33,broken clouds,10.5529,119.9913,JBryan Traveler's Inn
340,Isangel,VU,81.95,broken clouds,-19.55,169.2667,Tanna Lodge
341,Piacabucu,BR,77.61,broken clouds,-10.4056,-36.4344,Piaçabuçu News
344,Auki,SB,83.98,broken clouds,-8.7676,160.7034,Auki Motel
351,Dong Xoai,VN,86.92,overcast clouds,11.5333,106.9167,Khách Sạn Bình Phước - Khách Sạn Ngọc Lan
357,Traralgon,AU,79.84,clear sky,-38.1833,146.5333,Comfort Inn Traralgon
364,Gilbues,BR,75.0,broken clouds,-9.8317,-45.3439,Hotel Camapuã
371,Cavalcante,BR,70.23,overcast clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
374,Alyangula,AU,85.87,light rain,-13.8483,136.4192,Groote Eylandt Lodge
375,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
377,Ruwi,OM,73.62,clear sky,23.5996,58.5507,Al Falaj Hotel
379,Charters Towers,AU,86.04,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
380,Bosaso,SO,70.65,overcast clouds,11.2842,49.1816,Red Sea Hotel
384,Batticaloa,LK,79.56,broken clouds,7.7102,81.6924,Grand Star Guest House
388,Mumford,GH,78.91,light rain,5.2618,-0.759,Spanish Villa
389,Benguela,AO,74.52,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
395,Anastacio,BR,74.41,moderate rain,-20.4836,-55.8069,HOTEL ARARAS
397,Santa Cruz De La Palma,ES,70.14,clear sky,28.6835,-17.7642,H10 Taburiente Playa
398,Maunabo,PR,73.42,overcast clouds,18.0072,-65.8993,Maunacaribe
402,Bairiki,KI,87.8,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
405,Pemangkat,ID,82.65,broken clouds,1.1667,108.9667,Ramah Kost KITA
408,Touros,BR,79.7,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
409,Inhambane,MZ,76.51,light rain,-23.865,35.3833,Oceano
410,Fare,PF,81.12,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
416,Ambulu,ID,85.44,clear sky,-8.345,113.6058,Hotel Ambulu Jember
419,Banda Aceh,ID,81.19,overcast clouds,5.5577,95.3222,Sulthan Hotel International
421,Puerto Carreno,CO,84.97,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
423,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
427,Samarinda,ID,87.44,light rain,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
434,Gorontalo,ID,89.15,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
438,Tarauaca,BR,71.98,broken clouds,-8.1614,-70.7656,Flat Temporada
440,Kanakapura,IN,70.84,broken clouds,12.55,77.4167,Yogi Home Stay
442,Matanzas,CU,70.61,overcast clouds,23.0411,-81.5775,hostal sueños
446,Namibe,AO,71.87,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
453,Itarema,BR,77.88,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
456,Luanda,AO,75.45,overcast clouds,-8.8368,13.2343,Hotel Fórum
458,Kavaratti,IN,78.01,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
462,Richards Bay,ZA,71.83,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
466,Maumere,ID,84.65,few clouds,-8.6199,122.2111,Sylvia Hotel
472,Sunbury,AU,84.85,clear sky,-37.5833,144.7333,Sunbury Motor Inn
474,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
481,Paramonga,PE,70.47,broken clouds,-10.6667,-77.8333,HOSTAL MI CHALET - PARAMONGA
484,Healesville,AU,84.9,clear sky,-37.65,145.5167,Tuck Inn Yarra Valley Accommodation Healesville
489,Wajir,KE,73.27,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
491,Kuala Terengganu,MY,82.35,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
492,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
495,Entre Rios,BR,71.89,overcast clouds,-11.9419,-38.0844,Pousada Porteira
496,Bom Jesus Do Itabapoana,BR,73.38,overcast clouds,-21.1339,-41.6797,Pitucão Hotel e Restaurante
500,Labuhan,ID,83.8,broken clouds,-6.8844,112.2051,DoubleFAG
503,Pocone,BR,76.5,few clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
504,Daru,PG,89.78,broken clouds,-9.0763,143.2092,Daru Lodge
506,Pekan,MY,82.51,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
510,Inirida,CO,73.78,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
518,Tabou,CI,77.9,moderate rain,4.423,-7.3528,hotêl doufoulougou
521,Eldorado,BR,72.09,light rain,-23.7869,-54.2836,Villa Verde Hotel
523,Mount Gambier,AU,84.11,broken clouds,-37.8333,140.7667,The Commodore
526,Sola,VU,82.26,light rain,-13.8833,167.55,Leumerus Bungalows
528,Iguape,BR,77.05,moderate rain,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
533,Petrolina,BR,77.05,light rain,-9.3986,-40.5008,JB Hotel
538,Mersing,MY,82.31,scattered clouds,2.4312,103.8405,Timotel Hotel
549,Tual,ID,83.39,broken clouds,-5.6667,132.75,Grand Vilia Hotel
551,Waingapu,ID,86.14,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
552,Sainte-Marie,RE,78.96,light intensity drizzle rain,-20.8968,55.5496,Les pailles en queue de Sainte Marie
555,Vao,NC,80.83,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
571,Ambanja,MG,70.99,broken clouds,-13.6833,48.45,Hotel Salama and Fast Food
578,Guarapari,BR,76.89,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
580,Gambela,ET,74.52,few clouds,8.25,34.5833,Solomon Debebe Hotel
581,Belmonte,BR,73.9,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
584,Sechura,PE,70.99,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
587,Oyo,NG,72.66,clear sky,7.85,3.9333,Gold N Rock Hotel Nigeria Limited
592,Sabang,ID,82.02,overcast clouds,5.8933,95.3214,Hotel Citra
593,Ahuimanu,US,78.78,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
597,Vredendal,ZA,71.89,scattered clouds,-31.6683,18.5012,Tharrakamma Guest House
603,Mahebourg,MU,80.26,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
604,Mattru,SL,71.11,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
605,Sibolga,ID,80.11,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
608,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
609,Santa Quiteria Do Maranhao,BR,73.0,moderate rain,-3.5156,-42.5467,Casa Galvão
610,Pangai,TO,77.2,moderate rain,-19.8,-174.35,Ha'apai Beach Resort
611,Idenao,CM,77.22,overcast clouds,4.2475,9.0047,Moland Beach Resort
613,Namatanai,PG,86.41,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
617,Matara,LK,77.86,few clouds,5.9485,80.5353,Amaloh Boutique Resort
625,Portel,BR,73.89,moderate rain,-1.9356,-50.8211,Kitnet do Marcos
628,Noumea,NC,87.78,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
630,Alto Araguaia,BR,70.48,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
636,Saint-Georges,GD,76.68,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
639,Itupiranga,BR,72.23,overcast clouds,-5.1347,-49.3267,Hotel Panorama
644,Bolobo,CD,73.51,light rain,-2.1667,16.2333,Hotel de Stephen
646,Monrovia,LR,78.91,light rain,6.3005,-10.7969,Sunset Inn
647,Nanakuli,US,80.04,scattered clouds,21.3906,-158.1547,Camp Pālehua
653,Soyo,AO,77.49,overcast clouds,-6.1349,12.3689,Hotel Mpampa
662,Balabac,PH,81.5,broken clouds,7.9868,117.0645,Batalla’s Lodging House
663,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
665,Sao Sebastiao,BR,76.84,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
668,Srandakan,ID,71.73,broken clouds,-7.9386,110.2506,Puri Brata
672,Chimore,BO,71.87,heavy intensity rain,-16.9833,-65.1333,Bichito
674,Mildura,AU,88.07,broken clouds,-34.2,142.15,Mercure Hotel Mildura
675,Acapulco,MX,76.44,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
680,Penha,BR,77.16,moderate rain,-26.7694,-48.6458,Hotel Mirante Do Parque
684,Omboue,GA,76.03,clear sky,-1.5746,9.2618,Hotel Olako
689,Limbang,MY,86.11,overcast clouds,4.75,115.0,Purnama Hotel
704,Baracoa,CU,74.68,broken clouds,20.3467,-74.4958,Hostal Rio Miel
705,Kailua,US,80.58,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
